Date,Open,High,Low,Close,Volume,Adj Close
2014-12-26,5.69,5.73,5.68,5.68,4100,5.68
2014-12-24,5.75,5.75,5.65,5.65,15300,5.65
2014-12-23,5.85,5.85,5.68,5.69,8800,5.69
2014-12-22,6.00,6.05,5.65,5.66,19400,5.66
2014-12-19,5.76,6.12,5.70,5.71,8200,5.71
2014-12-18,7.40,7.40,5.60,5.76,42200,5.76
2014-12-17,5.62,5.71,5.62,5.71,1500,5.71
2014-12-16,5.83,5.83,5.62,5.63,2600,5.63
2014-12-15,6.48,6.48,5.77,5.83,13300,5.83
2014-12-12,6.63,6.63,6.25,6.46,11200,6.46
2014-12-11,6.94,6.94,6.63,6.63,3700,6.63
2014-12-10,7.00,7.00,6.55,6.55,11600,6.55
2014-12-09,7.40,7.40,6.74,6.74,18700,6.74
2014-12-08,7.11,7.31,6.90,6.90,10600,6.90
2014-12-05,7.35,7.45,7.05,7.08,13100,7.08
2014-12-04,7.40,7.40,7.09,7.15,5800,7.15
2014-12-03,7.20,7.31,7.20,7.29,6700,7.29
2014-12-02,7.40,7.40,7.00,7.20,14000,7.20
2014-12-01,7.40,7.40,7.15,7.20,13700,7.20
2014-11-28,7.50,7.50,7.20,7.26,11800,7.26
2014-11-26,7.45,7.49,7.30,7.40,27200,7.40
2014-11-25,7.30,7.30,7.06,7.18,12000,7.18
2014-11-24,6.84,7.39,6.84,7.18,4000,7.18
2014-11-21,6.54,6.89,5.87,6.65,47100,6.65
2014-11-20,6.81,6.81,6.37,6.51,17600,6.51
2014-11-19,6.94,6.94,6.71,6.71,3900,6.71
2014-11-18,6.90,6.90,6.76,6.76,2200,6.76
2014-11-17,6.63,6.63,6.63,6.63,200,6.63
2014-11-14,7.18,7.22,6.70,6.70,2700,6.70
2014-11-13,6.57,7.16,6.57,6.98,3800,6.98
2014-11-12,7.00,7.00,6.45,6.73,8600,6.73
2014-11-11,7.02,7.02,6.84,6.99,13200,6.99
2014-11-10,7.45,7.45,7.05,7.25,4400,7.25
2014-11-07,7.45,7.45,7.40,7.40,3400,7.40
2014-11-06,7.20,7.25,7.20,7.25,300,7.25
2014-11-05,6.81,7.20,6.63,7.20,4900,7.20
2014-11-04,7.06,7.06,6.85,6.93,1700,6.93
2014-11-03,7.58,7.58,6.99,7.01,3100,7.01
2014-10-31,7.40,7.55,7.20,7.40,9500,7.40
2014-10-30,7.75,7.78,7.55,7.56,23700,7.56
2014-10-29,7.16,7.75,7.00,7.75,65900,7.75
2014-10-28,7.10,7.25,7.10,7.16,6400,7.16
2014-10-27,6.75,6.75,6.67,6.67,2500,6.67
2014-10-24,6.60,7.00,6.24,7.00,4000,7.00
2014-10-23,6.55,6.55,6.55,6.55,600,6.55
