Date,Open,High,Low,Close,Volume,Adj Close
2014-11-04,25.709999,25.870001,23.50,23.92,101600,23.92
2014-11-03,26.459999,26.50,25.450001,25.870001,46800,25.870001
2014-10-31,26.24,26.52,25.60,26.35,39800,26.35
2014-10-30,25.969999,26.00,25.00,25.620001,43800,25.620001
2014-10-29,26.00,26.087999,25.41,25.92,20600,25.92
2014-10-28,25.52,26.049999,24.66,26.00,159800,26.00
2014-10-27,25.690001,26.049999,24.92,25.34,76500,25.34
2014-10-24,24.639999,26.50,24.639999,25.93,67100,25.93
2014-10-23,23.780001,25.77,23.48,24.700001,69500,24.700001
2014-10-22,23.889999,24.950001,23.00,23.65,37900,23.65
2014-10-21,23.00,23.940001,21.50,23.709999,68200,23.709999
2014-10-20,22.290001,24.25,22.290001,22.74,64800,22.74
2014-10-17,24.32,24.555,22.139999,22.43,90500,22.43
2014-10-16,22.959999,24.18,22.90,24.120001,51900,24.120001
2014-10-15,22.09,23.35,22.00,23.34,27100,23.34
2014-10-14,22.42,23.24,20.379999,22.610001,55800,22.610001
2014-10-13,21.82,22.469999,21.360001,22.360001,27500,22.360001
2014-10-10,21.049999,22.219999,20.540001,21.719999,76700,21.719999
2014-10-09,21.18,22.190001,20.00,21.129999,72400,21.129999
2014-10-08,21.08,21.360001,19.864,21.17,91400,21.17
2014-10-07,22.07,22.07,20.59,21.02,78900,21.02
2014-10-06,24.360001,24.360001,22.110001,22.219999,90200,22.219999
2014-10-03,22.50,24.860001,22.153999,23.99,64900,23.99
2014-10-02,22.299999,23.110001,20.60,22.48,134300,22.48
2014-10-01,24.24,24.24,21.700001,22.379999,234300,22.379999
2014-09-30,23.690001,26.959999,23.68,24.00,799800,24.00
2014-09-29,26.93,28.200001,23.450001,24.309999,166600,24.309999
2014-09-26,24.969999,27.610001,24.35,26.58,159800,26.58
2014-09-25,25.780001,26.549999,24.41,24.940001,151400,24.940001
2014-09-24,22.49,25.65,22.00,25.290001,128600,25.290001
2014-09-23,22.40,23.98,21.870001,22.559999,119900,22.559999
2014-09-22,23.32,23.879999,21.77,22.530001,102500,22.530001
2014-09-19,21.00,25.57,21.00,23.459999,468100,23.459999
2014-09-18,20.16,21.129999,19.870001,20.92,67400,20.92
2014-09-17,20.209999,20.290001,19.863001,20.09,69000,20.09
2014-09-16,19.549999,20.290001,19.190001,20.200001,106200,20.200001
2014-09-15,19.049999,19.66,19.049999,19.280001,123200,19.280001
2014-09-12,19.459999,19.59,19.10,19.379999,101500,19.379999
2014-09-11,19.32,19.59,19.27,19.40,41700,19.40
2014-09-10,19.200001,19.84,18.99,19.50,58200,19.50
2014-09-09,19.77,19.85,18.99,19.25,154800,19.25
2014-09-08,19.02,19.870001,18.82,19.389999,398600,19.389999
2014-09-05,19.08,19.26,18.26,18.790001,55000,18.790001
2014-09-04,19.780001,19.780001,18.780001,19.049999,52200,19.049999
2014-09-03,19.950001,19.950001,19.120001,19.709999,46300,19.709999
2014-09-02,20.00,20.450001,19.110001,19.700001,62500,19.700001
2014-08-29,19.98,19.98,19.200001,19.92,83000,19.92
2014-08-28,19.07,19.889999,17.91,19.77,181900,19.77
2014-08-27,17.09,18.43,17.09,18.33,190700,18.33
2014-08-26,17.08,17.65,16.60,17.43,182800,17.43
2014-08-25,17.200001,17.50,16.761,17.00,129200,17.00
2014-08-22,16.18,17.389999,16.120001,17.209999,115100,17.209999
2014-08-21,15.96,16.43,15.75,16.299999,179500,16.299999
2014-08-20,16.00,16.030001,15.83,15.99,176000,15.99
2014-08-19,16.01,16.190001,15.19,15.84,200700,15.84
2014-08-18,16.26,16.67,16.00,16.01,161800,16.01
2014-08-15,16.51,16.99,16.00,16.200001,172600,16.200001
2014-08-14,16.98,17.280001,16.549999,16.719999,467700,16.719999
2014-08-13,18.129999,18.49,16.15,17.15,6209200,17.15
