Date,Open,High,Low,Close,Volume,Adj Close
2013-10-07,13.99,14.33,13.18,13.33,36900,13.33
2013-10-04,13.92,14.70,13.86,13.99,40700,13.99
2013-10-03,14.76,15.29,13.57,13.75,152000,13.75
2013-10-02,12.65,14.99,12.50,14.60,186700,14.60
2013-10-01,12.74,13.00,12.12,12.60,62800,12.60
2013-09-30,13.32,13.47,12.44,12.44,84000,12.44
2013-09-27,11.77,13.40,11.77,13.19,107200,13.19
2013-09-26,12.43,12.46,11.78,11.78,29800,11.78
2013-09-25,12.00,12.10,11.75,11.80,79300,11.80
2013-09-24,12.76,12.98,11.90,12.03,57100,12.03
2013-09-23,12.51,12.99,12.31,12.84,89100,12.84
2013-09-20,12.99,12.99,12.31,12.31,50400,12.31
2013-09-19,13.50,13.50,12.35,12.79,64400,12.79
2013-09-18,13.00,13.50,12.76,13.39,290700,13.39
2013-09-17,12.54,13.50,12.01,12.19,240600,12.19
2013-09-16,11.33,12.70,10.96,12.49,315800,12.49
2013-09-13,10.95,11.29,10.80,11.00,79800,11.00
2013-09-12,9.95,11.00,9.95,10.90,41700,10.90
2013-09-11,9.82,10.05,9.81,9.95,7900,9.95
2013-09-10,9.85,10.07,9.85,9.92,11600,9.92
2013-09-09,9.75,10.07,9.75,9.90,15200,9.90
2013-09-06,9.65,9.77,9.60,9.75,6200,9.75
2013-09-05,9.71,10.00,9.70,9.85,7600,9.85
2013-09-04,9.95,10.08,9.76,9.94,16400,9.94
2013-09-03,10.03,10.05,9.91,9.96,17000,9.96
2013-08-30,9.92,10.04,9.77,9.99,1900,9.99
2013-08-29,10.00,10.05,9.95,9.97,22700,9.97
2013-08-28,10.00,10.05,9.90,10.01,21800,10.01
2013-08-27,9.80,10.05,9.80,10.05,10500,10.05
2013-08-26,10.00,10.10,10.00,10.05,20400,10.05
2013-08-23,10.10,10.10,10.02,10.10,9900,10.10
2013-08-22,10.31,10.31,10.08,10.09,12500,10.09
2013-08-21,10.10,10.15,10.05,10.07,23100,10.07
2013-08-20,10.14,10.15,9.61,10.15,6600,10.15
2013-08-19,11.23,11.23,9.86,10.10,35900,10.10
2013-08-16,10.15,10.19,10.05,10.19,44300,10.19
2013-08-15,9.99,10.15,9.87,9.87,12300,9.87
2013-08-14,10.00,10.15,9.28,10.00,8100,10.00
2013-08-13,10.00,10.00,9.79,9.84,23100,9.84
2013-08-12,10.00,10.15,10.00,10.15,22900,10.15
2013-08-09,9.78,10.00,9.78,9.81,13600,9.81
2013-08-08,9.95,10.00,9.78,9.78,13200,9.78
2013-08-07,9.84,10.05,9.84,10.00,8500,10.00
2013-08-06,9.86,10.15,9.86,9.95,17300,9.95
2013-08-05,10.15,10.20,9.91,10.05,49400,10.05
2013-08-02,9.78,10.20,9.77,10.09,135100,10.09
2013-08-01,10.01,10.10,9.77,10.05,46300,10.05
2013-07-31,9.49,9.93,9.25,9.93,20200,9.93
2013-07-30,9.06,9.48,9.06,9.36,19300,9.36
2013-07-29,9.15,9.39,9.01,9.16,5000,9.16
2013-07-26,9.20,9.28,9.02,9.28,38400,9.28
2013-07-25,9.35,9.53,9.03,9.29,175200,9.29
2013-07-24,10.00,10.19,9.02,9.57,1106200,9.57
